"","id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
"14492",22133,"Fresno europeo","13/06/2011 09:34","Alto (> 8 mts)",62,"Grande",-68.8555016306,-32.898103687,5,"Residencial Sur",2423808.92355,"0","bajo"
"9130",13956,"Caducifolio","29/11/2011 12:07","Muy bajo (1 - 2 mts)",8,"Chico",-68.8770252567,-32.864732031,8,"Aeroparque",2203364.73622,"0","bajo"
"28349",42950,"Morera","07/10/2011 16:20","Medio (4 - 8 mts)",160,"Grande",-68.8348734647,-32.8777054458,1,"Parque Central",1655357.93265,"0","medio"
"27452",41532,"Morera","04/05/2011 09:47","Medio (4 - 8 mts)",110,"Grande",-68.8389149828,-32.8782744545,1,"Parque Central",1655357.93265,"0","medio"
"21781",33064,"Morera","18/05/2011 10:30","Alto (> 8 mts)",181,"Grande",-68.853224484,-32.8879767038,5,"Residencial Sur",2423808.92355,"0","alto"
"21285",32305,"Tipa","29/06/2011 09:14","Alto (> 8 mts)",95,"Grande",-68.8524844708,-32.8915449904,5,"Residencial Sur",2423808.92355,"1","medio"
"9976",15364,"Fresno europeo","16/11/2011 12:24","Muy bajo (1 - 2 mts)",16,"Chico",-68.8608018349,-32.8706918112,7,"Residencial Parque",1786336.08966,"0","bajo"
"5997",9185,"Paraiso","02/03/2011 13:17","Alto (> 8 mts)",170,"Grande",-68.8504143047,-32.8659407138,6,"Residencial Norte",2694682.37982,"0","alto"
"21820",33122,"Fresno europeo","27/06/2011 11:38","Alto (> 8 mts)",137,"Grande",-68.8540208072,-32.8902645852,5,"Residencial Sur",2423808.92355,"0","medio"
"20080",30507,"Pltano","04/04/2011 15:17","Alto (> 8 mts)",174,"Grande",-68.8399040167,-32.8876343004,3,"Parque O'Higgins",1531146.02653,"0","alto"
"31672",48049,"Morera","27/09/2011 11:44","Medio (4 - 8 mts)",70,"Grande",-68.8255935628,-32.8665319557,4,"Cuarta Este Área Fundacional",1822015.85685,"0","bajo"
"17354",26433,"Fresno europeo","09/11/2011 09:38","Medio (4 - 8 mts)",115,"Grande",-68.8344252749,-32.8916272503,3,"Parque O'Higgins",1531146.02653,"0","medio"
"11330",17468,"Paraiso","16/01/2012 10:05","Bajo (2 - 4 mts)",45,"Mediano",-68.836295206,-32.8687054465,4,"Cuarta Oeste",1173332.70145,"0","bajo"
"3013",4614,"Morera","05/08/2011 09:52","Alto (> 8 mts)",165,"Grande",-68.8339064122,-32.8643700161,4,"Cuarta Oeste",1173332.70145,"0","alto"
"22006",33395,"Morera","02/06/2011 09:20","Alto (> 8 mts)",156,"Grande",-68.8560558803,-32.8876758441,5,"Residencial Sur",2423808.92355,"0","medio"
"17219",26238,"Ailanthus","19/10/2011 09:41","Medio (4 - 8 mts)",86,"Grande",-68.8308806878,-32.8887690436,3,"Parque O'Higgins",1531146.02653,"0","medio"
"6586",10061,"Morera","26/10/2010 09:28","Alto (> 8 mts)",160,"Grande",-68.8486396947,-32.8696086386,6,"Residencial Norte",2694682.37982,"1","medio"
"5473",8375,"Morera","17/02/2011 15:51","Alto (> 8 mts)",98,"Grande",-68.8401224567,-32.90048293,2,"Barrio Civico",2366816.36021,"1","medio"
"14601",22282,"Morera","15/06/2011 10:50","Alto (> 8 mts)",113,"Grande",-68.855924708,-32.8981843652,5,"Residencial Sur",2423808.92355,"0","medio"
"6867",10495,"Morera","10/03/2011 10:00","Medio (4 - 8 mts)",64,"Grande",-68.8504134308,-32.8747986752,6,"Residencial Norte",2694682.37982,"0","bajo"
"3925",6041,"Morera","25/04/2011 09:18","Alto (> 8 mts)",122,"Grande",-68.8463652206,-32.8868463072,1,"Parque Central",1655357.93265,"0","medio"
"19371",29457,"Morera","15/03/2011 13:26","Alto (> 8 mts)",200,"Grande",-68.8445163306,-32.894141698,2,"Barrio Civico",2366816.36021,"1","alto"
"14973",22831,"Morera","29/06/2011 14:34","Alto (> 8 mts)",140,"Grande",-68.8583850906,-32.9013767253,5,"Residencial Sur",2423808.92355,"0","medio"
"2921",4480,"Fresno europeo","29/07/2011 13:53","Medio (4 - 8 mts)",14,"Chico",-68.8394533828,-32.8683732191,4,"Cuarta Oeste",1173332.70145,"0","bajo"
"1494",2269,"Fresno americano","27/10/2011 09:40","Muy bajo (1 - 2 mts)",18,"Chico",-68.8371709766,-32.8911830847,3,"Parque O'Higgins",1531146.02653,"0","bajo"
"6351",9684,"Morera","20/01/2011 13:19","Medio (4 - 8 mts)",70,"Grande",-68.8470765403,-32.8641429983,4,"Cuarta Oeste",1173332.70145,"0","bajo"
"17101",26049,"Fresno americano","08/11/2011 16:23","Alto (> 8 mts)",180,"Grande",-68.8315101553,-32.887657929,3,"Parque O'Higgins",1531146.02653,"0","alto"
"21705",32948,"Morera","23/05/2011 10:35","Alto (> 8 mts)",167,"Grande",-68.8503155292,-32.8885098438,5,"Residencial Sur",2423808.92355,"0","alto"
"333",508,"Morera","08/03/2012 19:12","Alto (> 8 mts)",130,"Grande",-68.8202983414,-32.8682582277,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
"12257",18857,"Morera","27/07/2011 09:26","Alto (> 8 mts)",200,"Grande",-68.8404513998,-32.8699567623,4,"Cuarta Oeste",1173332.70145,"0","alto"
"13420",20563,"Morera","03/06/2011 11:16","Alto (> 8 mts)",155,"Grande",-68.8582252018,-32.8976113555,5,"Residencial Sur",2423808.92355,"0","medio"
"4244",6522,"Pltano","06/05/2011 10:01","Alto (> 8 mts)",90,"Grande",-68.8521202426,-32.8917336441,5,"Residencial Sur",2423808.92355,"0","medio"
"240",387,"Morera","05/03/2012 11:46","Medio (4 - 8 mts)",60,"Mediano",-68.8197693947,-32.8678320132,4,"Cuarta Este Área Fundacional",1822015.85685,"0","bajo"
"7386",11259,"Olmo comun","12/01/2011 14:58","Bajo (2 - 4 mts)",15,"Chico",-68.8465867409,-32.8998155111,2,"Barrio Civico",2366816.36021,"0","bajo"
"18371",27985,"Fresno americano","31/10/2011 09:20","Medio (4 - 8 mts)",58,"Mediano",-68.8372252449,-32.8931195388,3,"Parque O'Higgins",1531146.02653,"0","bajo"
"24016",36377,"Fresno europeo","17/03/2011 10:09","Alto (> 8 mts)",98,"Grande",-68.8529992194,-32.878251314,6,"Residencial Norte",2694682.37982,"0","medio"
"28353",42960,"Morera","07/10/2011 15:46","Alto (> 8 mts)",120,"Grande",-68.8349430526,-32.8785577278,1,"Parque Central",1655357.93265,"1","medio"
"13661",20905,"Acer","27/05/2011 09:20","Medio (4 - 8 mts)",57,"Mediano",-68.8617015061,-32.8951563375,5,"Residencial Sur",2423808.92355,"0","bajo"
"16946",25818,"Morera","01/02/2011 13:22","Alto (> 8 mts)",91,"Grande",-68.8406178822,-32.9030471802,2,"Barrio Civico",2366816.36021,"0","medio"
"9865",15178,"Acacia SP","18/11/2011 07:54","Bajo (2 - 4 mts)",27,"Mediano",-68.8601747419,-32.8696588635,6,"Residencial Norte",2694682.37982,"0","bajo"
"30065",45623,"Morera","22/09/2011 08:38","Alto (> 8 mts)",140,"Grande",-68.8211102941,-32.871355099,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
"21237",32235,"Morera","09/05/2011 11:26","Medio (4 - 8 mts)",120,"Grande",-68.8607935977,-32.8848861424,5,"Residencial Sur",2423808.92355,"0","medio"
"3415",5240,"Pltano","05/05/2011 12:24","Bajo (2 - 4 mts)",22,"Mediano",-68.8418419537,-32.8739141835,1,"Parque Central",1655357.93265,"0","bajo"
"7395",11274,"Morera","12/01/2011 11:28","Alto (> 8 mts)",105,"Grande",-68.8464664859,-32.9003626308,2,"Barrio Civico",2366816.36021,"0","medio"
"12266",18870,"Morera","27/07/2011 09:05","Alto (> 8 mts)",148,"Grande",-68.8407369617,-32.870377534,4,"Cuarta Oeste",1173332.70145,"1","medio"
"27615",41795,"Fresno europeo","26/04/2011 13:29","Medio (4 - 8 mts)",130,"Grande",-68.842112951,-32.8782105445,1,"Parque Central",1655357.93265,"0","medio"
"2962",4540,"Ailanthus","29/07/2011 17:52","Medio (4 - 8 mts)",50,"Mediano",-68.8401001506,-32.8674681951,4,"Cuarta Oeste",1173332.70145,"0","bajo"
"1269",1932,"Paraiso","15/11/2011 13:11","Bajo (2 - 4 mts)",40,"Mediano",-68.8604602173,-32.8702537967,7,"Residencial Parque",1786336.08966,"1","bajo"
"20540",31196,"Morera","07/02/2011 09:04","Medio (4 - 8 mts)",86,"Grande",-68.8535797022,-32.8638032369,6,"Residencial Norte",2694682.37982,"0","medio"
"11251",17363,"Morera","04/08/2011 07:51","Alto (> 8 mts)",111,"Grande",-68.8351396038,-32.8648376432,4,"Cuarta Oeste",1173332.70145,"0","medio"
"18345",27948,"Morera","03/11/2011 12:02","Alto (> 8 mts)",145,"Grande",-68.8375122454,-32.8937936447,2,"Barrio Civico",2366816.36021,"0","medio"
"2395",3628,"Paraiso","23/08/2011 12:16","Medio (4 - 8 mts)",50,"Mediano",-68.8242786599,-32.8693615604,4,"Cuarta Este Área Fundacional",1822015.85685,"0","bajo"
"12139",18683,"Morera","05/07/2011 09:26","Alto (> 8 mts)",133,"Grande",-68.836251978,-32.8737288964,4,"Cuarta Oeste",1173332.70145,"1","medio"
"24244",36716,"Morera","14/06/2011 10:31","Medio (4 - 8 mts)",110,"Grande",-68.8601557611,-32.8816556575,7,"Residencial Parque",1786336.08966,"0","medio"
"15881",24157,"Morera","24/01/2011 11:34","Alto (> 8 mts)",118,"Grande",-68.8453361844,-32.9019229278,2,"Barrio Civico",2366816.36021,"0","medio"
"23188",35154,"Morera","30/03/2011 10:39","Alto (> 8 mts)",125,"Grande",-68.8515225379,-32.8822997226,1,"Parque Central",1655357.93265,"0","medio"
"15273",23242,"Jacarand","31/01/2012 17:21","Bajo (2 - 4 mts)",26,"Mediano",-68.8524174946,-32.9017724231,2,"Barrio Civico",2366816.36021,"0","bajo"
"12504",19214,"Morera","06/07/2011 09:21","Alto (> 8 mts)",180,"Grande",-68.8387027906,-32.8725564152,4,"Cuarta Oeste",1173332.70145,"0","alto"
"16428",24994,"Olmo comun","16/02/2011 08:37","Bajo (2 - 4 mts)",60,"Mediano",-68.8370628265,-32.8967049039,2,"Barrio Civico",2366816.36021,"0","bajo"
"25447",38474,"Paraiso","03/11/2010 11:28","Alto (> 8 mts)",200,"Grande",-68.8516278002,-32.8702291271,6,"Residencial Norte",2694682.37982,"1","alto"
"11551",17813,"Paraiso","21/07/2011 12:42","Muy bajo (1 - 2 mts)",22,"Mediano",-68.8432185776,-32.8695519774,4,"Cuarta Oeste",1173332.70145,"0","bajo"
"21892",33226,"Pltano","09/05/2011 12:06","Alto (> 8 mts)",125,"Grande",-68.8550869668,-32.8922076206,5,"Residencial Sur",2423808.92355,"0","medio"
"4798",7350,"Fresno europeo","23/06/2011 10:13","Alto (> 8 mts)",110,"Grande",-68.8624985203,-32.901198185,5,"Residencial Sur",2423808.92355,"0","medio"
"10839",16719,"Paraiso","21/07/2011 10:47","Medio (4 - 8 mts)",160,"Grande",-68.8404978888,-32.8625311721,4,"Cuarta Oeste",1173332.70145,"0","medio"
"25235",38178,"Olmo bola","20/10/2010 13:51","Medio (4 - 8 mts)",170,"Grande",-68.8453070834,-32.8706313809,6,"Residencial Norte",2694682.37982,"0","alto"
"13962",21328,"Fresno americano","15/06/2011 11:30","Bajo (2 - 4 mts)",45,"Mediano",-68.8526734626,-32.8991026869,2,"Barrio Civico",2366816.36021,"0","bajo"
"2208",3332,"Morera","05/10/2011 11:36","Alto (> 8 mts)",105,"Grande",-68.8308460175,-32.8800854638,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
"30254",45904,"Olmo comun","25/08/2011 12:54","Bajo (2 - 4 mts)",86,"Grande",-68.8190477655,-32.868880319,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
"28847",43717,"Morera","11/10/2011 09:06","Alto (> 8 mts)",110,"Grande",-68.8324453393,-32.883388656,3,"Parque O'Higgins",1531146.02653,"0","medio"
"25126",38018,"Paraiso","07/12/2010 12:57","Medio (4 - 8 mts)",75,"Grande",-68.8480761968,-32.8713836317,6,"Residencial Norte",2694682.37982,"0","bajo"
"11936",18364,"Fresno europeo","01/08/2011 10:30","Medio (4 - 8 mts)",90,"Grande",-68.8367714698,-32.8677556395,4,"Cuarta Oeste",1173332.70145,"0","medio"
"3239",4955,"Fresno americano","15/07/2011 12:11","Medio (4 - 8 mts)",180,"Grande",-68.8434692094,-32.8693069807,4,"Cuarta Oeste",1173332.70145,"0","alto"
"8423",12863,"Morera","19/01/2011 09:37","Alto (> 8 mts)",100,"Grande",-68.846339533,-32.8643342249,4,"Cuarta Oeste",1173332.70145,"0","medio"
"29544",44817,"Morera","26/08/2011 10:25","Alto (> 8 mts)",150,"Grande",-68.8230852405,-32.8695642581,4,"Cuarta Este Área Fundacional",1822015.85685,"1","medio"
"7602",11597,"Paraiso","10/05/2010 10:52","Medio (4 - 8 mts)",119,"Grande",-68.8525476967,-32.8669815889,6,"Residencial Norte",2694682.37982,"0","medio"
"18065",27524,"Morera","26/10/2011 09:39","Alto (> 8 mts)",130,"Grande",-68.8370593782,-32.891433165,3,"Parque O'Higgins",1531146.02653,"0","medio"
"7944",12105,"Morera","05/05/2010 11:32","Medio (4 - 8 mts)",69,"Grande",-68.8530382689,-32.8688970956,6,"Residencial Norte",2694682.37982,"0","bajo"
"9355",14326,"Paraiso sombrilla","01/12/2011 12:34","Bajo (2 - 4 mts)",42,"Mediano",-68.8783247397,-32.8670694766,8,"Aeroparque",2203364.73622,"0","bajo"
"20590",31261,"Morera","04/02/2011 09:23","Bajo (2 - 4 mts)",20,"Chico",-68.8535263967,-32.8635732692,6,"Residencial Norte",2694682.37982,"0","bajo"
"12321",18960,"Morera","04/08/2011 11:27","Alto (> 8 mts)",200,"Grande",-68.8371960574,-32.8688009276,4,"Cuarta Oeste",1173332.70145,"0","alto"
"4138",6366,"Acacia visco","24/06/2011 12:27","Alto (> 8 mts)",120,"Grande",-68.8514818205,-32.8909569053,5,"Residencial Sur",2423808.92355,"0","medio"
"200",317,"lamo criollo","05/03/2012 12:41","Alto (> 8 mts)",280,"Grande",-68.8215088145,-32.8671385045,4,"Cuarta Este Área Fundacional",1822015.85685,"0","muy alto"
"6272",9574,"Fresno europeo","10/02/2011 13:47","Medio (4 - 8 mts)",92,"Grande",-68.8551559017,-32.863960955,6,"Residencial Norte",2694682.37982,"0","medio"
"30435",46184,"Morera","28/09/2011 09:53","Medio (4 - 8 mts)",150,"Grande",-68.824409068,-32.8752853789,4,"Cuarta Este Área Fundacional",1822015.85685,"1","medio"
"18329",27926,"Pltano","03/11/2011 11:31","Alto (> 8 mts)",175,"Grande",-68.8382687302,-32.8938558375,2,"Barrio Civico",2366816.36021,"0","alto"
"22685",34388,"Morera","28/03/2011 09:19","Alto (> 8 mts)",208,"Grande",-68.8505317069,-32.874962438,6,"Residencial Norte",2694682.37982,"0","alto"
"8424",12864,"Caducifolio","19/01/2011 09:35","Bajo (2 - 4 mts)",60,"Mediano",-68.8462878295,-32.8643295627,4,"Cuarta Oeste",1173332.70145,"0","bajo"
"16005",24341,"Fresno europeo","26/01/2011 12:29","Alto (> 8 mts)",105,"Grande",-68.8439784691,-32.902669381,2,"Barrio Civico",2366816.36021,"0","medio"
"4976",7616,"Morera","06/06/2011 12:51","Muy bajo (1 - 2 mts)",9,"Chico",-68.8603670597,-32.8827564197,7,"Residencial Parque",1786336.08966,"0","bajo"
"17593",26802,"Morera","01/11/2011 09:00","Medio (4 - 8 mts)",100,"Grande",-68.8344961334,-32.8949032772,3,"Parque O'Higgins",1531146.02653,"1","medio"
"9812",15082,"Morera","17/11/2011 09:53","Alto (> 8 mts)",100,"Grande",-68.8589523715,-32.8691766842,6,"Residencial Norte",2694682.37982,"0","medio"
"5810",8926,"Caducifolio","24/01/2011 13:05","Muy bajo (1 - 2 mts)",5,"Chico",-68.8488397538,-32.8672751061,6,"Residencial Norte",2694682.37982,"0","bajo"
"4233",6509,"Morera","06/05/2011 10:36","Alto (> 8 mts)",120,"Grande",-68.8528538379,-32.8926152274,5,"Residencial Sur",2423808.92355,"0","medio"
"10725",16558,"Paraiso","27/07/2011 09:48","Muy bajo (1 - 2 mts)",25,"Mediano",-68.8409112792,-32.8656118145,4,"Cuarta Oeste",1173332.70145,"0","bajo"
"5851",8975,"Paraiso","19/01/2011 10:20","Alto (> 8 mts)",135,"Grande",-68.8466024139,-32.868456711,6,"Residencial Norte",2694682.37982,"0","medio"
"30878",46828,"Morera","16/09/2011 08:15","Medio (4 - 8 mts)",35,"Mediano",-68.8334373433,-32.8717925798,4,"Cuarta Este Área Fundacional",1822015.85685,"0","bajo"
"10908",16832,"lamo criollo","08/08/2011 13:42","Alto (> 8 mts)",195,"Grande",-68.8385250144,-32.8643261862,4,"Cuarta Oeste",1173332.70145,"0","alto"
"9657",14797,"Prunas","05/12/2011 18:15","Bajo (2 - 4 mts)",18,"Chico",-68.8797685264,-32.868716369,8,"Aeroparque",2203364.73622,"0","bajo"
"20083",30512,"Fresno europeo","04/04/2011 16:19","Medio (4 - 8 mts)",46,"Mediano",-68.8397111791,-32.887286068,3,"Parque O'Higgins",1531146.02653,"0","bajo"
"16971",25849,"Tipa","03/02/2011 16:51","Medio (4 - 8 mts)",68,"Grande",-68.8402876563,-32.9017938384,2,"Barrio Civico",2366816.36021,"0","bajo"
"11738",18078,"Morera","02/08/2011 07:41","Alto (> 8 mts)",116,"Grande",-68.8398177325,-32.8685849298,4,"Cuarta Oeste",1173332.70145,"0","medio"
"9307",14255,"Morera","07/12/2011 10:37","Medio (4 - 8 mts)",70,"Grande",-68.8777307015,-32.8673663487,8,"Aeroparque",2203364.73622,"0","bajo"
"3661",5626,"Pltano","05/05/2011 13:07","Medio (4 - 8 mts)",50,"Mediano",-68.8393237338,-32.8768568567,1,"Parque Central",1655357.93265,"0","bajo"
"4652",7125,"Acer","13/06/2011 12:16","Muy bajo (1 - 2 mts)",45,"Mediano",-68.8521408633,-32.8970399705,5,"Residencial Sur",2423808.92355,"0","bajo"
"4706",7215,"Morera","28/06/2011 09:02","Bajo (2 - 4 mts)",70,"Grande",-68.8611422288,-32.8981489536,5,"Residencial Sur",2423808.92355,"0","bajo"
"15814",24057,"Morera","21/01/2011 09:34","Alto (> 8 mts)",160,"Grande",-68.8458822233,-32.9006470399,2,"Barrio Civico",2366816.36021,"0","medio"
"9350",14319,"Conifera","06/12/2011 08:24","Alto (> 8 mts)",140,"Grande",-68.8772685495,-32.8673813665,8,"Aeroparque",2203364.73622,"0","medio"
"10113",15597,"Paraiso","16/11/2011 15:48","Muy bajo (1 - 2 mts)",14,"Chico",-68.8613791917,-32.8710256402,7,"Residencial Parque",1786336.08966,"0","bajo"
"11178",17255,"Morera","12/08/2011 08:57","Alto (> 8 mts)",207,"Grande",-68.8364019993,-32.863779255,4,"Cuarta Oeste",1173332.70145,"0","alto"
"9581",14671,"Aguaribay","15/12/2011 17:11","Medio (4 - 8 mts)",60,"Mediano",-68.8816886354,-32.8673099473,8,"Aeroparque",2203364.73622,"0","bajo"
"12372",19026,"Olmo bola","12/07/2011 10:24","Alto (> 8 mts)",108,"Grande",-68.8398050497,-32.8716570763,4,"Cuarta Oeste",1173332.70145,"0","medio"
"28722",43533,"Tilo","19/10/2011 17:21","Muy bajo (1 - 2 mts)",6,"Chico",-68.8308583601,-32.8825547042,3,"Parque O'Higgins",1531146.02653,"0","bajo"
"22738",34459,"Fresno europeo","11/03/2011 10:16","Medio (4 - 8 mts)",120,"Grande",-68.8501761558,-32.8744810491,6,"Residencial Norte",2694682.37982,"0","medio"
"4513",6914,"Fresno americano","27/05/2011 12:34","Muy bajo (1 - 2 mts)",10,"Chico",-68.8627130433,-32.8945066602,5,"Residencial Sur",2423808.92355,"0","bajo"
"31214",47357,"Morera","23/09/2011 08:58","Medio (4 - 8 mts)",170,"Grande",-68.8278310222,-32.8747564306,4,"Cuarta Este Área Fundacional",1822015.85685,"0","alto"
"23364",35408,"Morera","17/06/2011 16:50","Medio (4 - 8 mts)",110,"Grande",-68.8559789211,-32.883527481,5,"Residencial Sur",2423808.92355,"0","medio"
"29952",45435,"Morera","09/09/2011 09:16","Alto (> 8 mts)",240,"Grande",-68.8255485995,-32.8732581901,4,"Cuarta Este Área Fundacional",1822015.85685,"0","alto"
"22346",33898,"Morera","14/07/2011 09:01","Medio (4 - 8 mts)",127,"Grande",-68.85481225,-32.8854866317,5,"Residencial Sur",2423808.92355,"0","medio"
"20415",31017,"Fresno europeo","10/02/2011 10:07","Medio (4 - 8 mts)",92,"Grande",-68.8557934623,-32.8641429729,6,"Residencial Norte",2694682.37982,"0","medio"
"17718",26985,"Fresno europeo","02/11/2011 17:29","Alto (> 8 mts)",140,"Grande",-68.8343350929,-32.8875343066,3,"Parque O'Higgins",1531146.02653,"0","medio"
"13763",21060,"Morera","23/06/2011 11:16","Alto (> 8 mts)",90,"Grande",-68.8633028201,-32.8993748256,5,"Residencial Sur",2423808.92355,"0","medio"
"13969",21340,"Fresno europeo","09/05/2011 11:27","Alto (> 8 mts)",143,"Grande",-68.8537132591,-32.8936268783,5,"Residencial Sur",2423808.92355,"0","medio"
"31007",47030,"Fresno americano","15/09/2011 12:33","Alto (> 8 mts)",115,"Grande",-68.8316149393,-32.8728423266,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
"30750",46643,"Pltano","02/09/2011 10:46","Alto (> 8 mts)",125,"Grande",-68.8314361675,-32.8685311062,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
